assessment_id,application_id,net_income_zar,monthly_expenses_zar,existing_debt_zar,affordability_amount_zar,assessment_result,assessed_at,dsr_ratio
1,1786,-25778.28,12956.37,5185.81,,pass,2026-01-07 10:34:20,0.2012
2,1129,5045.45,4147.79,553.49,344.17,FAIL,2025-03-31 08:17:56,0.1097
3,1710,,8842.72,4829.27,6586.26,Fail,2025-07-11 09:34:15,0.2384
4,2566,68175.71,49051.54,12813.97,6310.2,PASS,2025-10-02 20:12:50,0.188
5,222,16477.28,15120.6,5357.04,-4000.36,PASS,2025-07-31 14:13:28,0.3251
6,2470,64226.35,59422.54,3167.13,1636.68,FAIL,2026-03-19 07:03:11,0.0493
7,2895,12311.64,5870.95,4894.58,1546.11,PASS,2025-07-02 18:26:16,0.3976
8,251,16019.51,7456.19,1923.81,6639.51,REFER,2025-11-09 20:58:41,0.1201
9,2113,50703.45,43485.52,,-15279.51,Fail,2026-02-08 15:38:46,0.4437
10,1708,41520.75,21556.51,1623.76,18340.48,FAIL,2025-07-01 22:10:35,0.0391
11,2605,69873.12,50084.64,19046.53,-741.95,Fail,2026-03-27 16:07:19,0.2726
12,895,49756.9,25913.56,15058.64,8784.7,REFER,2026-01-07 15:27:39,0.3026
13,2412,42012.42,26495.41,12903.59,2613.42,FAIL,2025-06-15 07:25:32,
14,202,62967.02,54573.78,,5491.33,REFER,2025-05-13 22:35:23,0.0461
15,2128,,46124.53,19627.22,16739.33,pass,2025-04-21 14:25:37,0.2379
16,1627,86664.3,55998.7,34845.67,-4180.07,pass,2025-02-13 22:42:00,0.4021
17,1508,16846.75,9362.27,3567.03,3917.45,FAIL,2025-02-27 15:22:42,0.2117
18,2474,29325.3,18560.15,78.82,10686.33,REFER,2025-06-22 22:26:50,0.0027
19,3160,,70054.91,24889.32,-19947.08,pass,2025-08-19 10:32:23,0.3319
20,2742,52783.86,44079.65,25780.85,-17076.64,FAIL,2025-04-05 19:25:22,0.4884
21,1286,40689.66,20420.76,12829.05,7439.85,pass,2025-11-18 09:58:03,
22,1896,82984.18,73772.43,24771.22,-15559.47,FAIL,2026-01-15 08:20:10,0.2985
23,1648,74904.71,48510.47,37049.6,-10655.36,FAIL,2026-01-29 16:04:49,0.4946
24,2791,24488.11,15136.54,8195.15,1156.42,PASS,2025-12-26 16:19:47,0.3347
25,2780,77598.94,44400.89,14515.4,,Fail,2026-05-25 17:00:32,0.1871
26,1696,46619.42,32678.24,17932.67,-3991.49,FAIL,2025-12-30 10:39:00,0.3847
27,196,20539.95,10997.4,3168.62,6373.93,pass,2026-01-10 18:44:21,0.1543
28,1843,59279.95,41985.43,24135.33,-6840.81,FAIL,2025-05-04 13:50:03,0.4071
29,2075,55078.3,28532.78,9918.37,16627.15,Fail,2026-02-22 18:26:28,0.1801
30,2492,50760.51,34310.73,,-172.81,FAIL,2025-05-07 10:28:29,0.3275
31,1953,5993.19,4649.73,2318.2,-974.74,pass,2025-01-03 16:53:22,0.3868
32,2607,56480.03,28461.15,10967.34,17051.54,PASS,2025-11-04 08:36:48,0.1942
33,1939,38268.94,23374.85,6956.47,7937.62,,2026-05-02 22:02:13,0.1818
34,3170,72143.96,50914.49,25223.08,-3993.61,REFER,2026-05-27 16:41:56,0.3496
35,460,24271.47,14772.01,5865.14,3634.32,Fail,2026-03-11 15:44:01,0.2416
36,3054,29441.22,27710.68,13530.89,-11800.35,Fail,2025-01-21 16:32:32,0.4596
37,679,30953.69,17914.92,2543.59,10495.18,Fail,2025-05-21 19:42:39,0.0822
38,625,12463.6,11076.98,2187.62,-801.0,PASS,2026-01-30 12:35:45,0.1755
39,2777,55992.34,53104.71,,-12985.31,pass,2026-01-05 12:44:29,
40,2947,85398.16,64314.76,16590.32,4493.08,FAIL,2025-08-10 20:30:30,0.1943
41,2304,61766.82,55082.37,8808.91,-2124.46,REFER,2026-04-10 14:53:25,0.1426
42,638,14081.51,7691.24,4521.58,1868.69,PASS,2025-02-03 22:13:59,
43,2842,88758.24,78247.13,14347.5,-3836.39,FAIL,2026-03-17 09:53:40,
44,853,29976.25,17464.91,5803.96,6707.38,pass,2026-01-03 15:58:00,0.1936
45,742,26213.62,19670.78,490.35,-6052.49,pass,2025-02-07 09:37:16,0.0187
46,2837,22717.02,21085.35,1366.44,265.23,FAIL,2025-01-09 20:10:38,0.0602
47,3192,8823.97,8175.25,3444.56,,pass,2025-08-25 19:15:17,0.3904
48,2013,83268.26,76788.55,,-18275.51,FAIL,2026-05-29 18:18:10,0.2973
49,519,,4253.0,1568.25,-368.38,REFER,2026-03-11 14:15:35,0.2876
50,1795,28048.8,18705.23,2414.36,6929.21,Fail,2025-04-16 11:01:12,0.0861
51,476,10697.12,8625.82,4294.57,-2223.27,Fail,2025-01-25 13:27:00,0.4015
52,2728,8612.26,4004.2,,2494.78,PASS,2026-03-18 16:17:11,
53,1914,19846.95,14284.97,1874.54,3687.44,PASS,2026-04-14 22:26:00,0.0944
54,1809,46734.4,28668.3,7726.7,10339.4,PASS,2025-09-28 10:18:02,0.1653
55,373,73286.46,32234.93,2831.74,,pass,2026-05-11 07:44:40,0.0386
56,3065,78160.12,57316.47,18988.39,,pass,2025-03-12 20:52:09,
57,489,-40505.35,,11405.06,-1231.93,,2026-05-11 08:59:15,0.2816
58,516,29238.21,15199.94,736.46,13301.81,PASS,2025-11-28 22:32:08,0.0252
59,800,62128.48,38551.98,7828.17,15748.33,PASS,2025-03-02 07:12:22,
60,3109,79997.68,62706.62,481.44,16809.62,REFER,2025-11-29 16:04:37,0.006
61,1674,36875.1,16028.95,3107.85,,pass,2026-02-28 11:51:23,0.0843
62,2987,32507.92,16893.73,14692.08,922.11,pass,2026-03-01 18:12:33,0.452
63,118,,3988.47,582.89,4356.15,REFER,2025-07-26 14:16:21,
64,2553,45853.43,34096.31,14679.72,-2922.6,Fail,2026-04-12 13:22:26,0.3201
65,2482,25259.64,15236.16,,2342.22,pass,2026-05-08 13:56:20,
66,503,7977.0,6531.21,2347.75,-901.96,pass,2025-11-02 10:45:19,0.2943
67,2311,13196.84,10105.6,,-1218.4,PASS,2026-04-08 19:54:29,0.3266
68,33,74557.85,32338.25,7574.25,34645.35,pass,2026-05-11 17:25:59,0.1016
69,600,38567.49,20625.79,7212.22,10729.48,REFER,2025-02-22 19:02:56,
70,2257,61455.34,42897.34,7826.68,-10731.32,PASS,2025-08-23 15:26:42,0.1274
71,665,,2109.9,1032.61,2038.7,FAIL,2025-05-26 15:13:03,0.1993
72,1027,88429.26,59640.68,27191.56,1597.02,Fail,2025-10-20 08:53:06,0.3075
73,880,64372.05,,5018.41,,pass,2025-09-14 18:59:55,0.078
74,550,8620.25,6009.14,1563.62,1047.49,,2025-03-16 07:51:56,0.1814
75,2171,49365.88,28523.05,15465.33,5377.5,FAIL,2025-02-13 16:08:37,
76,191,64792.37,60720.53,15071.11,-10999.27,REFER,2025-03-07 13:20:49,0.2326
77,862,23004.61,21497.11,,-8196.36,PASS,2025-10-01 07:56:58,0.4218
78,23,43627.56,37012.56,10684.17,-4069.17,PASS,2025-02-25 08:54:33,0.2449
79,3026,78510.89,61064.15,1190.19,16256.55,pass,2025-01-22 12:25:56,0.0152
80,843,26849.71,14078.61,1164.34,11606.76,REFER,2025-05-15 12:28:25,0.0434
81,1576,14479.14,12439.72,2125.79,-86.37,FAIL,2026-01-27 10:53:16,0.1468
82,2648,64329.72,58115.38,7104.89,-890.55,pass,2025-12-14 21:35:12,0.1104
83,2783,33967.48,31833.97,14281.16,-12147.65,FAIL,2025-12-23 16:39:05,0.4204
84,1245,61526.03,38428.09,,17286.63,REFER,2025-08-05 20:22:40,0.0945
85,118,60179.43,57095.17,30009.16,-26924.9,REFER,2025-12-15 22:27:27,0.4987
86,1640,70008.51,,29461.2,-18012.21,REFER,2025-02-22 22:26:36,0.4208
87,1341,44378.92,42028.57,13979.55,-11629.2,FAIL,2026-01-16 07:29:18,0.315
88,1348,76486.42,38895.11,23646.49,13944.82,FAIL,2025-06-20 18:18:37,0.3092
89,1770,68183.65,,13331.45,21866.25,Fail,2025-04-26 11:57:55,0.1955
90,831,70284.16,32757.32,30135.98,7390.86,pass,2026-01-29 20:23:33,0.4288
91,1549,66189.82,62235.86,28102.52,-24148.56,REFER,2025-05-22 21:41:14,0.4246
92,131,33286.86,24301.11,16341.37,-7355.62,PASS,2026-01-27 16:33:07,0.4909
93,143,18465.36,13042.32,7473.74,-2050.7,pass,2025-01-12 09:15:39,0.4047
94,1017,29023.93,25360.67,2736.32,926.94,FAIL,2025-12-14 12:23:32,0.0943
95,3010,73890.54,49352.36,19029.55,5508.63,PASS,2025-05-09 16:55:14,0.2575
96,1033,44443.02,38609.89,5347.78,485.35,pass,2026-03-31 09:28:28,0.1203
97,2103,54043.69,41889.09,,-12835.91,Fail,2025-11-04 21:01:38,0.4624
98,1184,14644.76,8737.99,1723.25,4183.52,,2026-02-24 22:29:53,0.1177
99,2817,55501.33,48207.4,638.53,6655.4,FAIL,2025-12-16 08:26:25,0.0115
100,777,78175.25,64801.18,13092.87,,Fail,2026-05-30 07:34:46,0.1675
101,1302,11442.21,9403.99,2955.54,-917.32,Fail,2026-03-28 07:05:28,0.2583
102,962,35582.88,29449.7,,-2761.14,FAIL,2025-09-03 09:33:03,
103,1287,31903.04,21696.43,2101.96,8104.65,PASS,2026-02-05 14:54:31,0.0659
104,2974,28971.32,23941.94,13660.08,-8630.7,pass,2025-10-30 12:54:41,0.4715
105,358,89886.15,53640.93,19531.36,16713.86,FAIL,2025-04-02 19:58:55,
106,1666,20678.28,11564.1,3503.05,5611.13,FAIL,2026-03-24 15:28:11,0.1694
107,1143,86731.88,56643.94,,-10082.89,Fail,2026-04-11 08:43:00,0.4632
108,1821,62032.37,47899.5,,-13467.38,REFER,2025-08-28 21:19:14,0.4449
109,2060,49987.1,42385.53,12338.61,-4737.04,FAIL,2025-04-07 13:23:50,0.2468
110,371,73494.35,47821.67,552.93,25119.75,FAIL,2026-03-19 10:30:13,0.0075
111,1631,58964.53,44843.31,2715.63,11405.59,REFER,2025-04-29 20:51:48,0.0461
112,2795,85708.4,68696.87,41083.26,-24071.73,FAIL,2025-07-05 10:44:03,0.4793
113,2039,75552.06,30989.01,,40053.9,REFER,2026-02-05 20:05:27,
114,2358,77609.89,66168.5,33939.49,-22498.1,REFER,2025-09-22 09:54:09,0.4373
115,437,83140.65,47082.17,23128.69,12929.79,FAIL,2025-07-24 22:18:31,
116,1934,55092.65,36634.62,964.91,17493.12,PASS,2025-10-05 15:50:13,0.0175
117,2370,46992.39,38644.51,15098.18,-6750.3,REFER,2026-03-02 10:50:18,0.3213
118,1281,81327.48,63126.54,22307.95,-4107.01,,2025-04-08 15:24:33,0.2743
119,2500,4948.21,2276.89,,2066.45,pass,2025-11-30 08:13:52,0.1222
120,2737,57958.48,30574.24,23247.92,4136.32,FAIL,2026-06-02 07:42:02,0.4011
121,790,,20325.9,15660.46,-4323.86,REFER,2026-01-05 21:32:15,
122,929,37923.27,21753.72,11115.7,5053.85,FAIL,2025-08-06 10:57:03,0.2931
123,1156,17116.26,7744.72,5101.58,4269.96,FAIL,2025-10-19 09:37:36,0.2981
124,218,53183.64,41283.02,3384.62,,REFER,2025-08-11 22:33:25,0.0636
125,467,57522.7,34739.6,6288.57,16494.53,Fail,2025-02-04 10:52:10,0.1093
126,1765,44190.15,29768.07,19641.01,,REFER,2025-09-20 16:06:09,0.4445
127,691,,36293.32,11205.98,-2363.98,FAIL,2026-04-24 16:06:44,0.2483
128,1097,12404.69,11006.14,3612.88,-2214.33,PASS,2026-01-04 22:10:34,0.2913
129,1016,73786.24,69299.91,555.92,3930.41,pass,2025-04-22 14:43:47,0.0075
130,1142,61523.13,56195.17,26973.17,-21645.21,FAIL,2025-10-08 11:15:05,0.4384
131,3118,8215.77,5111.95,2660.76,443.06,FAIL,2025-07-06 17:54:20,0.3239
132,121,46429.58,19024.58,17307.09,10097.91,REFER,2025-03-19 07:00:49,0.3728
133,2939,74079.13,59985.92,8491.12,5602.09,Fail,2026-01-04 21:47:06,0.1146
134,286,85641.06,,34298.58,15275.62,REFER,2025-10-18 22:27:56,0.4005
135,1228,79787.47,64078.01,14880.75,828.71,PASS,2025-09-02 10:10:36,0.1865
136,650,69768.87,65397.5,23437.89,-19066.52,pass,2025-11-01 11:17:59,
137,2890,46960.45,42440.58,9388.82,-4868.95,pass,2025-03-26 14:26:07,0.1999
138,2950,29854.05,27921.62,6628.14,-4695.71,PASS,2026-04-30 22:42:48,0.222
139,3049,5832.79,2603.13,1951.35,1278.31,pass,2026-06-13 21:15:07,0.3345
140,57,57310.57,36118.14,15413.39,5779.04,pass,2025-02-28 15:15:15,0.2689
141,1853,,28940.05,9315.41,25820.42,PASS,2025-02-26 11:51:16,0.1454
142,2495,83480.46,46271.41,31701.15,5507.9,pass,2025-02-18 14:04:46,0.3797
143,2312,38465.12,21968.72,11332.31,5164.09,,2026-03-17 20:25:00,0.2946
144,1087,17044.32,,4052.01,46.6,pass,2026-03-05 15:07:06,0.2377
145,72,89797.0,47804.12,26817.59,15175.29,REFER,2025-07-03 15:49:01,0.2986
146,1826,35757.21,32898.25,17414.0,-14555.04,pass,2026-03-30 17:16:40,0.487
147,2695,31235.37,23097.38,15559.04,-7421.05,REFER,2025-12-01 14:03:29,
148,2840,80473.11,62368.18,540.0,17564.93,FAIL,2025-07-11 07:57:01,
149,432,41182.64,36124.7,18060.86,-13002.92,REFER,2026-03-04 11:23:36,0.4386
150,1922,54338.25,22484.51,19492.78,12360.96,Fail,2025-03-21 19:08:12,0.3587
151,1197,87785.9,68641.25,1702.88,,FAIL,2025-02-16 18:45:05,0.0194
152,1287,87310.62,,30301.53,-14811.46,PASS,2025-12-02 17:10:59,0.3471
153,2330,62284.0,53990.41,29553.45,-21259.86,PASS,2026-05-01 13:53:14,0.4745
