credit_check_id,application_id,bureau_name,credit_score,risk_band,enquiry_result,checked_at,adverse_listings_count,total_open_accounts,total_judgements
1,2599,TransUnion,317,VERY_HIGH,pass,2025-12-28 07:17:09,,4,1
2,250,TransUnion,449,VERY_HIGH,Fail,2026-02-21 15:27:23,1,9,1
3,1428,Demo Credit Bureau,661,LOW,Fail,2025-11-15 17:03:02,,1,3
4,2472,Demo Credit Bureau,848,LOW,pass,2025-04-05 09:26:04,2,,
5,1296,Demo Credit Bureau,572,VERY_HIGH,Fail,2026-06-14 16:43:45,2,5,
6,1368,TransUnion,491,HIGH,ERROR,2025-07-24 12:12:17,0,,2
7,3006,Experian,510,VERY_HIGH,REFER,2026-05-08 16:06:13,5,9,1
8,349,,816,Low,FAIL,2025-03-12 09:58:11,,12,1
9,2949,,752,Low,pass,2025-08-28 13:09:31,5,6,
10,1881,,792,low,ERROR,2026-05-12 22:20:43,0,3,1
11,1648,,312,HIGH,ERROR,2025-01-15 09:11:52,2,14,0
12,319,Demo Credit Bureau,631,MEDIUM,FAIL,2025-07-14 13:20:46,1,9,0
13,555,TransUnion,433,VERY_HIGH,Fail,2025-01-27 19:23:26,0,12,
14,2367,,402,HIGH,ERROR,2025-10-12 12:05:30,4,,0
15,246,TransUnion,482,VERY_HIGH,pass,2025-09-16 11:46:43,1,7,1
16,508,Demo Credit Bureau,469,HIGH,REFER,2025-05-29 22:46:18,5,,1
17,150,Compuscan,628,MEDIUM,Fail,2026-04-23 16:36:54,4,11,0
18,80,,397,HIGH,Fail,2025-09-13 16:33:25,4,13,2
19,2625,Demo Credit Bureau,489,VERY_HIGH,pass,2026-05-09 12:07:49,2,13,3
20,1994,Experian,311,HIGH,PASS,2025-01-26 15:12:41,1,0,3
21,3066,,561,HIGH,REFER,2025-11-07 11:34:30,5,2,3
22,1737,,696,Low,Fail,2026-03-30 19:59:52,4,6,0
23,2584,Experian,392,VERY_HIGH,PASS,2025-05-16 17:23:47,5,14,0
24,1952,Experian,549,VERY_HIGH,REFER,2026-04-27 16:19:48,,11,
25,3091,Compuscan,608,MEDIUM,FAIL,2026-02-06 15:43:42,,14,3
26,2307,,627,MEDIUM,FAIL,2026-03-16 19:50:13,0,14,
27,3065,Experian,443,HIGH,pass,2025-01-02 13:54:46,5,13,3
28,977,,797,Low,PASS,2026-03-22 16:39:14,1,10,2
29,1772,Compuscan,471,HIGH,Fail,2026-03-29 08:22:49,,,2
30,1271,Demo Credit Bureau,471,VERY_HIGH,ERROR,2025-11-22 15:20:04,,14,0
31,1218,,328,VERY_HIGH,FAIL,2025-07-27 09:42:03,3,6,3
32,2508,Demo Credit Bureau,735,low,FAIL,2025-05-20 08:21:37,0,3,1
33,1469,TransUnion,326,VERY_HIGH,PASS,2025-06-09 15:44:37,1,12,2
34,1995,,361,HIGH,REFER,2025-11-03 07:38:37,2,7,0
35,2356,TransUnion,577,HIGH,FAIL,2026-02-12 11:36:16,0,13,3
36,953,Demo Credit Bureau,475,VERY_HIGH,REFER,2026-01-21 11:49:05,5,9,0
37,48,TransUnion,430,VERY_HIGH,pass,2026-06-01 15:44:26,5,14,1
38,200,Demo Credit Bureau,484,HIGH,Fail,2025-12-21 20:35:39,2,11,2
39,1777,,606,MEDIUM,ERROR,2025-05-31 16:48:30,0,6,2
40,3199,TransUnion,330,HIGH,REFER,2025-10-24 16:05:28,0,,
41,1783,TransUnion,,MEDIUM,ERROR,2025-06-03 15:15:41,5,11,2
42,3072,TransUnion,607,MEDIUM,ERROR,2025-12-05 11:34:36,2,0,1
43,2217,Demo Credit Bureau,540,HIGH,FAIL,2025-02-10 08:03:45,5,1,0
44,2773,Demo Credit Bureau,783,LOW,pass,2025-02-27 14:24:13,0,,2
45,2362,Demo Credit Bureau,745,low,pass,2025-07-31 22:18:08,4,0,3
46,69,,771,Low,pass,2025-07-16 16:30:56,3,9,3
47,1044,Experian,429,VERY_HIGH,ERROR,2025-08-21 09:30:48,2,13,1
48,2411,Experian,,Low,PASS,2026-06-12 19:11:00,1,2,2
49,765,Demo Credit Bureau,842,Low,PASS,2026-06-01 20:16:58,3,9,0
50,3172,TransUnion,367,HIGH,REFER,2025-12-02 16:52:57,4,13,2
51,1308,Compuscan,315,HIGH,REFER,2026-05-23 20:52:04,5,10,3
52,1706,Compuscan,365,VERY_HIGH,FAIL,2025-06-17 14:18:24,2,9,
53,1826,Demo Credit Bureau,621,MEDIUM,pass,2025-12-10 21:40:26,5,13,
54,2527,TransUnion,489,HIGH,FAIL,2025-08-02 11:49:30,1,15,
55,356,TransUnion,643,MEDIUM,Fail,2025-01-21 11:29:29,5,9,1
56,1778,,699,Low,Fail,2026-03-10 21:53:43,0,4,0
57,2501,,805,low,pass,2026-02-24 07:50:02,4,11,1
58,914,Compuscan,819,LOW,FAIL,2025-06-15 11:17:25,4,0,3
59,443,TransUnion,381,VERY_HIGH,Fail,2025-06-03 19:56:02,,13,3
60,2015,Compuscan,826,low,FAIL,2025-04-15 21:36:56,2,14,0
61,2527,Demo Credit Bureau,739,low,FAIL,2026-05-21 14:42:23,4,,0
62,3165,,643,MEDIUM,REFER,2026-05-12 18:45:53,,10,0
63,160,TransUnion,832,Low,pass,2025-04-25 12:16:45,3,5,
64,2506,Compuscan,414,HIGH,REFER,2025-04-26 21:26:08,2,3,3
65,1415,Compuscan,310,HIGH,FAIL,2025-03-05 18:49:38,0,6,3
66,14,Experian,651,low,Fail,2025-07-28 11:40:13,4,13,2
67,3094,,322,HIGH,PASS,2025-03-13 19:45:32,3,3,3
68,2293,TransUnion,527,HIGH,REFER,2026-05-19 12:28:02,1,3,3
69,1166,,405,HIGH,ERROR,2025-10-16 15:10:03,2,6,3
70,182,Compuscan,666,LOW,FAIL,2025-03-11 13:21:25,2,7,2
71,397,Experian,478,VERY_HIGH,PASS,2025-08-24 07:58:19,1,12,3
72,1596,TransUnion,626,MEDIUM,FAIL,2026-05-11 20:20:17,4,5,2
73,2286,,577,VERY_HIGH,pass,2025-07-16 16:27:53,3,12,
74,1940,Compuscan,777,Low,REFER,2025-09-23 13:37:25,0,,
75,1748,,706,LOW,REFER,2025-04-28 21:55:39,4,9,
76,3077,TransUnion,683,LOW,Fail,2026-04-10 09:23:30,0,13,
77,2673,Compuscan,374,VERY_HIGH,PASS,2025-12-05 22:06:02,5,15,1
78,2259,TransUnion,,low,FAIL,2025-11-29 22:56:50,,3,2
79,1966,TransUnion,665,low,PASS,2025-04-27 14:09:35,,,
80,2846,Experian,384,VERY_HIGH,FAIL,2025-05-06 14:17:51,2,15,3
81,2753,Experian,596,MEDIUM,FAIL,2025-01-11 10:53:13,2,5,2
82,1398,Compuscan,786,LOW,REFER,2026-05-25 21:37:00,0,6,1
83,2267,Experian,784,Low,Fail,2025-11-01 19:42:09,5,13,
84,3148,Compuscan,737,low,FAIL,2026-04-26 08:43:30,1,11,0
85,2821,TransUnion,820,low,ERROR,2026-02-22 18:35:07,,12,2
86,652,,636,MEDIUM,ERROR,2026-01-02 19:32:34,3,4,1
87,2349,Compuscan,490,VERY_HIGH,REFER,2026-02-03 09:32:09,3,5,
88,288,TransUnion,675,Low,PASS,2025-06-21 07:59:20,5,11,1
89,878,,810,LOW,pass,2026-01-28 11:08:21,5,6,0
