fee_charge_id,loan_id,fee_type,fee_amount_zar,fee_date,waived_flag
1,1562,Service Fee,-148.5,2026-01-17,1
2,1644,Initiation Fee,207.31,2026-05-12,0
3,24,Collection Fee,123.39,2025-07-03,1
4,654,Late Payment Fee,229.88,2025-03-01,0
5,1568,Initiation Fee,-401.52,2025-07-24,0
6,473,Late Payment Fee,447.72,2025-02-18,0
7,512,initiation fee,76.85,2026-05-26,1
8,1498,Initiation Fee,346.31,2026-01-24,1
9,160,Service Fee,224.3,2025-02-28,0
10,1755,initiation fee,281.48,2026-03-18,0
11,1430,Initiation Fee,369.72,2025-09-01,1
12,482,initiation fee,293.07,2025-11-26,0
13,1054,Service Fee,326.41,2025-10-05,0
14,1260,Late Payment Fee,212.22,07-21-2025,1
15,307,Service Fee,454.34,2025-06-08,0
16,1628,Dishonour Fee,26.63,2026-04-05,0
17,710,Collection Fee,135.38,2025-10-29,1
18,730,SERVICE FEE,402.16,2025-10-08,0
19,604,initiation fee,374.73,2025-10-11,0
20,824,Initiation Fee,227.34,2025-05-09,0
21,610,Collection Fee,243.17,2026-03-17,0
22,427,Collection Fee,429.6,2025-10-22,0
23,443,Collection Fee,87.86,2025-05-04,0
24,1589,Collection Fee,103.09,06/01/2025,0
25,1465,initiation fee,-411.57,2026-06-12,0
26,1656,Collection Fee,332.64,11-14-2025,1
27,235,Dishonour Fee,475.28,2025-05-06,0
28,208,initiation fee,212.97,2025-10-14,0
29,1262,Collection Fee,464.87,2025-06-19,0
30,297,initiation fee,69.78,08-22-2025,1
31,1096,SERVICE FEE,388.39,2026-04-15,0
32,993,initiation fee,360.48,2025-07-17,1
33,1771,Collection Fee,163.04,06-25-2025,0
34,982,Service Fee,146.51,2026-03-25,0
35,737,SERVICE FEE,460.42,2026-06-08,0
36,1098,SERVICE FEE,378.01,2026-02-23,0
37,1353,SERVICE FEE,91.28,16/11/2025,0
38,1291,initiation fee,246.67,11-09-2025,1
39,1202,SERVICE FEE,-193.15,2026-05-15,0
40,232,Initiation Fee,201.71,04 Aug 2025,0
41,907,Collection Fee,323.31,2025-01-28,0
42,1204,SERVICE FEE,43.55,2025-09-06,1
43,156,initiation fee,-298.99,2026-01-07,0
44,1588,Collection Fee,108.57,2025-08-15,1
45,406,Late Payment Fee,256.33,2026-03-10,0
46,1199,Initiation Fee,-443.83,2026-02-21,0
47,1060,Initiation Fee,135.63,2025-10-15,0
48,564,Dishonour Fee,-273.41,2025-02-14,0
49,1655,initiation fee,40.08,2026-01-13,0
50,770,Service Fee,361.79,2025-03-03,0
51,477,Collection Fee,437.06,2025-02-17,0
52,1454,SERVICE FEE,246.53,2025-09-11,0
53,1319,SERVICE FEE,342.77,2025-03-20,0
54,175,Collection Fee,336.43,2026-02-01,0
55,449,initiation fee,402.47,2025-09-18,1
56,848,Late Payment Fee,255.7,2025-12-02,0
57,1436,SERVICE FEE,108.03,2026-02-06,0
58,738,initiation fee,282.6,2025-11-23,0
59,1260,Initiation Fee,327.24,2025-12-06,1
60,1066,Service Fee,403.73,2025-04-17,0
61,1411,Service Fee,459.78,2025-12-19,0
62,1448,SERVICE FEE,-328.64,2025-06-18,0
63,1001,SERVICE FEE,105.3,2025-12-07,1
64,755,SERVICE FEE,86.29,2025-04-29,1
65,1669,SERVICE FEE,-261.81,2025-07-30,0
66,1571,Dishonour Fee,362.05,2025-12-15,0
67,1545,SERVICE FEE,71.42,2025-11-26,0
68,238,SERVICE FEE,171.58,2026-01-09,0
69,609,Late Payment Fee,378.16,2025-09-28,0
70,922,Initiation Fee,426.92,2025-09-09,0
71,1756,Dishonour Fee,242.09,2026-05-08,0
72,1324,Collection Fee,382.76,2026-04-08,0
73,1581,Dishonour Fee,482.32,2025-10-13,0
74,1107,Collection Fee,90.09,2025-09-17,1
75,994,Collection Fee,233.15,2025-03-16,0
76,369,SERVICE FEE,168.19,2025-04-15,0
77,1529,Service Fee,496.36,2026-05-02,0
78,253,initiation fee,353.47,20260219,0
79,219,Collection Fee,309.47,2025-12-28,0
80,1001,Late Payment Fee,159.1,2025-06-01,1
81,588,Initiation Fee,185.87,2026-03-03,0
82,736,initiation fee,477.97,2026-02-11,1
83,1156,Dishonour Fee,423.54,2025-05-14,0
84,773,Late Payment Fee,56.04,2025-01-05,0
85,243,SERVICE FEE,325.38,19 Mar 2025,0
86,1544,initiation fee,461.64,2025-11-30,0
87,1339,Late Payment Fee,388.0,20250616,0
88,1607,Dishonour Fee,100.44,2025-11-17,0
89,1257,Late Payment Fee,155.6,2025-05-06,0
90,55,SERVICE FEE,184.73,2025-02-17,1
91,1541,Dishonour Fee,173.67,2025-06-01,0
92,117,Collection Fee,445.61,2025-04-21,0
93,439,Collection Fee,270.93,2025-06-27,0
94,1156,SERVICE FEE,310.41,2025-04-20,0
95,1235,Service Fee,153.79,2025-08-09,0
96,593,Dishonour Fee,123.83,2026-06-04,1
97,1666,Initiation Fee,323.21,2025-07-18,0
98,259,Service Fee,79.82,2025-08-03,0
99,1295,initiation fee,464.4,2026-05-26,0
100,451,initiation fee,80.56,2026-03-16,0
101,1698,initiation fee,-385.06,2025-05-26,1
102,797,SERVICE FEE,283.26,2026-02-07,0
103,1672,initiation fee,82.62,2025-02-03,0
104,897,Initiation Fee,406.36,2025-09-17,0
105,1738,Dishonour Fee,307.43,2026-04-09,0
106,1282,initiation fee,200.53,2025-04-19,0
107,519,Collection Fee,213.99,2025-09-22,0
108,1638,Initiation Fee,136.47,2025-07-22,0
109,767,initiation fee,473.62,20250220,0
110,638,Initiation Fee,467.89,2026-06-04,0
111,1795,initiation fee,84.57,2026-02-28,1
112,543,Dishonour Fee,297.82,26 Jan 2026,0
113,1393,Late Payment Fee,461.73,2025-07-24,0
114,853,Dishonour Fee,170.26,2025-02-24,0
115,1790,Late Payment Fee,67.06,2026-06-13,0
116,1444,Late Payment Fee,51.45,2025-09-22,0
117,80,Collection Fee,64.63,23/04/2025,0
118,1585,Collection Fee,116.65,2025-05-04,0
119,1139,Late Payment Fee,-305.72,2025-03-01,0
120,1146,SERVICE FEE,-377.29,2025-07-21,1
121,1598,initiation fee,310.25,2026-03-17,1
122,260,initiation fee,422.9,2026-02-22,1
123,705,Service Fee,176.97,2025-08-06,0
124,136,SERVICE FEE,26.73,2025-07-27,0
125,69,SERVICE FEE,480.86,2025-08-27,0
126,900,Service Fee,414.24,20250519,1
127,1174,Dishonour Fee,308.39,2025-12-13,1
128,79,initiation fee,379.11,2025-10-24,0
129,1027,SERVICE FEE,480.35,2025-01-12,0
130,550,Late Payment Fee,463.1,2026-03-03,0
131,995,Collection Fee,189.85,2025-05-01,1
132,1764,SERVICE FEE,382.14,2025-03-20,0
133,1523,SERVICE FEE,,2025-12-11,0
134,1567,Dishonour Fee,115.91,2025-07-01,0
135,1249,SERVICE FEE,77.54,2025-03-04,1
136,194,Initiation Fee,207.36,2026-06-08,0
137,281,SERVICE FEE,161.52,2025-09-15,0
138,1171,Late Payment Fee,347.63,2025-08-23,1
139,1125,SERVICE FEE,312.95,2025-07-21,0
140,1295,Collection Fee,349.77,2025-11-10,0
141,1063,Initiation Fee,409.15,2025-05-09,1
142,416,SERVICE FEE,132.23,2025-12-07,1
143,360,Service Fee,216.12,05 Jul 2025,0
144,1132,Collection Fee,127.92,2026-04-23,1
145,431,Service Fee,340.25,2025-02-23,1
146,16,Initiation Fee,128.03,2025-08-07,0
147,147,Initiation Fee,203.52,2025-12-06,0
148,1195,Collection Fee,365.81,2025-01-10,0
149,280,Late Payment Fee,-184.36,2025-06-21,0
150,796,Collection Fee,165.22,2025-12-23,0
151,1459,Collection Fee,90.71,2025-09-26,0
152,637,Service Fee,219.65,2025-03-03,0
153,611,Service Fee,162.49,2025-08-20,0
154,875,Collection Fee,305.53,2025-10-26,0
155,1152,Collection Fee,283.28,2025-11-14,0
156,1113,SERVICE FEE,139.18,2025-05-29,1
157,414,Dishonour Fee,179.32,2025-11-29,0
158,71,Initiation Fee,185.48,2026-02-13,0
159,1622,Collection Fee,261.6,2025-11-29,0
160,1369,Collection Fee,226.66,2025-02-07,0
161,1178,Dishonour Fee,40.0,2025-07-27,0
162,284,Dishonour Fee,103.36,2026-06-10,0
163,685,Initiation Fee,36.47,2026-03-17,0
164,1378,Service Fee,79.29,2026-03-29,1
165,1177,SERVICE FEE,108.5,2025-03-05,0
166,1592,Collection Fee,384.45,2026-01-01,0
167,442,initiation fee,451.37,2025-01-18,0
168,609,Late Payment Fee,116.22,2026-01-23,0
169,1527,Dishonour Fee,242.84,2026-02-17,1
170,257,Service Fee,114.51,2025-08-16,1
171,1071,SERVICE FEE,104.51,2025-12-18,0
172,779,Initiation Fee,475.52,2025-08-25,0
173,1620,Late Payment Fee,388.6,2025-10-24,1
174,476,Dishonour Fee,105.97,2026-04-12,1
175,1717,Late Payment Fee,297.74,28/05/2025,1
176,70,SERVICE FEE,71.12,2026-03-23,0
177,160,Collection Fee,216.13,2025-03-12,0
178,1323,Initiation Fee,129.76,2026-02-24,1
179,280,SERVICE FEE,283.52,12-25-2025,1
180,1202,Service Fee,428.71,2026-02-08,1
181,724,Collection Fee,208.23,2025-02-20,0
182,705,Collection Fee,39.87,2026-06-13,1
183,1123,Dishonour Fee,292.72,23 Dec 2025,1
184,713,initiation fee,402.3,2025-10-21,0
185,1746,Late Payment Fee,41.06,2025-07-06,1
186,179,Dishonour Fee,79.3,2026-01-31,0
187,178,Late Payment Fee,221.65,2026-03-01,0
188,408,Dishonour Fee,250.27,2025-01-11,0
189,855,Service Fee,100.58,2026-05-25,0
190,890,SERVICE FEE,366.37,2026-04-20,1
191,65,Dishonour Fee,277.6,20251228,0
192,326,Initiation Fee,205.4,2025-02-17,1
193,688,Initiation Fee,334.34,2025-08-23,1
194,765,Service Fee,429.46,2025-05-30,0
195,180,Dishonour Fee,210.87,2025-03-11,0
196,720,initiation fee,450.03,2025-04-02,0
197,1287,initiation fee,162.86,2025-05-03,0
