application_id,quote_id,customer_id,application_submitted_at,application_status,sa_id_captured_flag,mobile_captured_flag,online_banking_captured_flag,decline_reason,channel_name,agent_code,processing_minutes
1,1977,558,2025-11-11 20:14:12,submitted,1,1,1,,Email,,166
2,3343,893,2025-04-21 16:06:44,WITHDRAWN,1,1,1,,Organic Search,AGT614,86
3,2312,1138,2025-06-17 10:20:38,APPROVED,1,1,0,,Google Sponsored Search,,4
4,3205,1686,2026-02-28 20:52:57,WITHDRAWN,1,1,0,,unknown,,1
5,419,1935,2026-04-28 21:24:13,DECLINED,1,1,1,Duplicate application,WhatsApp,AGT851,71
6,3934,340,2026-06-04 07:45:03,submitted,1,1,1,,unknown,,115
7,3094,1832,2026-01-13 09:29:56,SUBMITTED,1,0,1,,,,
8,1306,982,2026-01-27 21:12:13,submitted,1,1,1,,,,3
9,3643,1961,2026-04-14 12:25:58,DISBURSED,1,1,1,,WhatsApp,,159
10,2872,1113,2025-07-24 15:03:14,WITHDRAWN,1,1,1,,Direct,,125
11,3951,1828,2025-01-19 10:32:42,DECLINED,0,0,0,Adverse credit listing,Direct,,67
12,788,468,2025-03-15 17:35:40,APPROVED,0,1,1,,unknown,,23
13,101,1752,2025-08-14 17:10:19,DISBURSED,0,1,1,,WhatsApp,,
14,784,5,2026-03-22 14:27:05,WITHDRAWN,1,0,1,,Organic Search,,133
15,3749,555,2026-04-16 17:55:31,DECLINED,0,1,1,Credit score below threshold,Facebook,,6
16,3971,1291,2025-03-23 14:45:09,STARTED,1,0,0,,,AGT354,48
17,101,1353,2025-06-12 19:25:27,Approved,0,1,1,,,,158
18,740,875,2025-10-08 10:09:43,SUBMITTED,0,1,1,,Google Sponsored Search,AGT941,154
19,3707,615,2025-08-29 07:11:28,STARTED,1,1,1,,,,134
20,2332,908,2026-03-20 16:04:22,DISBURSED,1,1,1,,,AGT703,176
21,272,1421,2025-04-20 15:50:20,DISBURSED,1,1,1,,,,71
22,408,11,2025-06-30 10:05:03,WITHDRAWN,1,1,0,,Email,,67
23,887,1971,2026-04-30 18:35:32,STARTED,1,1,1,,unknown,AGT320,145
24,2117,1816,2025-02-07 20:37:02,WITHDRAWN,1,1,0,,unknown,AGT810,15
25,2392,276,2025-03-04 17:08:33,Approved,1,1,1,,,AGT344,164
26,3894,1252,2026-04-06 09:20:50,Approved,1,1,0,,,,92
27,3480,1807,2025-10-10 10:54:16,DECLINED,1,1,1,Income verification failed,WhatsApp,,142
28,1225,1121,2026-03-17 14:54:24,DISBURSED,0,1,1,,unknown,,133
29,1402,1593,2025-01-02 17:40:52,DECLINED,1,0,0,Adverse credit listing,,,168
30,1104,1447,2025-07-26 22:58:01,DECLINED,1,1,1,Duplicate application,,,7
31,3936,920,2025-02-20 10:14:21,STARTED,0,0,0,,Facebook,,20
32,1947,1957,2025-07-22 08:00:24,submitted,0,1,1,,Email,,165
33,1580,450,2025-02-28 18:21:15,DECLINED,1,1,1,Credit score below threshold,WhatsApp,,99
34,2475,1746,2026-05-11 09:25:25,submitted,1,1,1,,Facebook,,48
35,2558,180,2025-01-16 20:13:29,DECLINED,1,1,1,Adverse credit listing,Email,,121
36,2939,377,2025-01-14 16:36:32,DISBURSED,1,1,1,,Organic Search,AGT518,101
37,1590,477,2026-05-09 22:35:55,submitted,1,1,1,,WhatsApp,,175
38,829,948,2025-02-19 07:24:04,submitted,1,1,1,,unknown,,170
39,2753,549,2025-03-25 20:03:17,WITHDRAWN,0,0,1,,Email,,179
40,2193,1747,2025-03-02 19:22:13,submitted,1,1,1,,Organic Search,,102
41,3849,774,2026-01-23 18:07:23,DISBURSED,1,0,0,,Google Sponsored Search,AGT880,44
42,839,1124,2026-04-28 13:59:48,STARTED,1,1,1,,Facebook,,
43,3048,1883,2025-03-03 18:13:26,DECLINED,1,0,1,,Email,,150
44,766,1329,2026-01-04 11:31:44,DECLINED,1,1,1,,,,2
45,2438,615,2025-09-06 12:30:28,DECLINED,1,1,0,,unknown,,27
46,1930,485,2025-12-17 12:33:58,SUBMITTED,1,1,1,,,AGT361,16
47,1841,1274,2025-03-05 17:58:01,SUBMITTED,0,1,0,,,,
48,2482,1192,2025-10-26 08:05:54,DISBURSED,1,0,1,,Facebook,AGT225,170
49,3241,1624,2025-03-08 14:03:15,WITHDRAWN,0,1,1,,Organic Search,,101
50,2594,1339,2025-10-03 07:27:17,STARTED,0,0,0,,Direct,,69
51,2669,1341,2025-03-23 10:04:03,DISBURSED,1,1,1,,Email,,83
52,33,232,2025-12-22 15:52:00,submitted,0,1,1,,unknown,,156
53,2111,859,2026-05-31 19:27:21,submitted,1,1,0,,Google Sponsored Search,AGT559,144
54,3962,233,2025-08-29 16:30:04,submitted,0,0,1,,,AGT339,164
55,3298,1838,2025-04-19 08:21:38,Approved,1,0,0,,Facebook,,5
56,1952,954,2025-03-27 18:25:24,WITHDRAWN,0,0,0,,Facebook,,107
57,2240,1797,2025-05-13 19:16:36,submitted,0,0,1,,Google Sponsored Search,AGT451,
58,730,1723,2025-02-18 22:31:07,SUBMITTED,1,0,1,,,,104
59,3981,61,2026-05-22 21:27:12,WITHDRAWN,1,1,0,,unknown,AGT198,157
60,1757,1981,2025-05-30 18:54:16,DISBURSED,0,1,1,,unknown,AGT788,148
61,3643,1113,2025-01-21 17:40:01,SUBMITTED,0,1,1,,Organic Search,,151
62,1955,652,2026-01-01 14:10:41,SUBMITTED,1,1,0,,,AGT199,47
63,228,294,2025-06-05 16:55:32,submitted,1,1,1,,Facebook,,44
64,3933,1633,2026-01-20 07:21:44,DECLINED,1,1,1,Credit score below threshold,,,
65,3427,700,2026-01-12 20:36:07,DECLINED,0,1,1,Adverse credit listing,unknown,,151
66,2097,806,2026-01-02 14:41:29,DISBURSED,1,1,1,,unknown,,67
67,2940,568,2025-12-28 07:25:13,SUBMITTED,1,1,0,,unknown,,28
