loan_id,application_id,customer_id,contract_number,principal_amount_zar,term_months,disbursed_amount_zar,total_repayable_zar,disbursement_date,loan_status,nca_compliant_flag,interest_rate_pct
1,558,233,FAST-20260103-00001,490.38,1,469.48,608.42,2026-01-03,ACTIVE,1,3.1749
2,1797,1510,FAST-20251220-00002,9764.37,4,9364.76,12317.24,2025-12-20,CANCELLED,1,3.8994
3,1117,1017,FAST-20250815-00003,14909.27,6,14223.21,18233.89,2025-08-15,settled,0,4.3213
4,249,744,FAST-20250823-00004,14511.95,5,14060.65,18504.59,2025-08-23,Active,1,3.3439
5,2844,810,FAST-20251110-00005,1447.97,5,1407.22,1850.68,2025-11-10,settled,1,3.207
6,979,665,FAST-20250926-00006,4929.74,5,4883.69,5892.43,2025-09-26,active,1,4.2031
7,2940,1611,FAST-20250318-00007,484.6,5,478.72,601.54,2025-03-18,Active,1,4.3359
8,1590,1529,FAST-20250402-00008,974.04,1,969.22,1153.47,2025-04-02,ARREARS,1,3.2783
9,1393,759,FAST-20260314-00009,4948.81,5,4857.09,6240.65,14 Mar 2026,SETTLED,1,4.7775
10,498,1494,FAST-20260422-00010,9688.81,3,9462.82,11809.05,2026-04-22,ACTIVE,1,4.995
11,2461,734,FAST-20250130-00011,-4890.74,4,4886.84,6095.53,2025-01-30,ACTIVE,1,4.4539
12,2649,353,FAST-20251114-00012,1495.45,2,1444.94,1851.1,2025-11-14,WRITTEN_OFF,0,4.4709
13,2922,562,FAST-20260325-00013,,3,3113.06,4027.71,2026-03-25,settled,1,3.738
14,425,1227,FAST-20250926-00014,476.09,6,457.86,561.98,2025-09-26,Active,1,4.7766
15,1412,948,FAST-20251018-00015,11871.23,1,11430.28,14248.42,18 Oct 2025,active,1,4.519
16,3107,1328,FAST-20260427-00016,14582.15,2,14155.65,17253.66,2026-04-27,settled,1,4.543
17,1360,1621,FAST-20260426-00017,1930.46,1,1877.38,2376.54,04-26-2026,active,0,3.7971
18,1999,1264,FAST-20250909-00018,9889.0,4,9783.29,11769.96,2025-09-09,WRITTEN_OFF,0,4.6271
19,3194,190,FAST-20250831-00019,1471.15,5,1429.79,1763.87,2025-08-31,settled,1,3.8265
20,1289,654,FAST-20251229-00020,11922.01,2,11590.23,14138.24,2025-12-29,SETTLED,1,4.7862
21,2184,282,FAST-20250330-00021,1477.18,2,1448.58,1802.39,2025-03-30,active,1,4.8409
22,1253,215,FAST-20251008-00022,488.24,4,464.68,609.34,2025-10-08,ACTIVE,1,4.5
