quote_id,customer_id,product_name,session_id,quote_created_at,amount_requested_zar,term_months,monthly_instalment_zar,total_fees_interest_zar,total_repayable_zar,calculator_source
1,880,,7394,2026-04-04 22:16:54,3252.29,1,4006.73,754.44,4006.73,app
2,1476,FASTA Repeat Customer Loan,3639,2026-02-20 07:22:19,10438.04,1,13256.78,2818.74,13256.78,
3,1577,,4526,2025-12-09 17:57:53,15341.93,1,19428.4,4086.47,,
4,344,,4428,2026-02-12 18:00:06,8310.31,4,2468.68,1564.41,9874.72,website
5,1842,FASTA Cash Loan,4263,2026-02-10 14:47:47,14905.94,6,3030.84,3279.13,18185.07,
6,1730,FASTA Repeat Customer Loan,276,2025-02-16 12:41:22,2088.64,3,886.65,571.32,,partner
7,1179,FASTA Cash Loan,1705,2025-01-03 20:12:09,5199.79,2,3229.37,1258.95,6458.74,website
8,861,,4568,2025-08-23 21:40:05,15597.98,6,3171.44,3430.64,19028.62,website
9,14,FASTA Cash Loan,1274,2025-10-02 10:04:39,1007.06,5,245.81,221.97,,website
10,1427,FASTA Repeat Customer Loan,6282,2025-09-26 10:20:47,967.22,2,576.69,186.17,1153.39,agent
11,382,FASTA Cash Loan,,2025-09-02 08:43:29,7656.57,3,3026.02,1421.49,9078.06,website
12,243,FASTA Cash Loan,6029,2026-06-16 07:37:49,2009.92,4,621.47,475.94,2485.86,agent
13,143,,4047,2025-04-01 21:02:58,3232.38,5,798.91,762.17,3994.55,
14,388,,,2025-04-11 22:13:39,7827.14,6,1628.8,1945.66,9772.8,website
15,1084,,7450,2026-03-20 14:19:55,4937.34,3,1963.58,953.41,5890.75,website
16,1708,FASTA Cash Loan,2659,2026-01-01 10:48:09,14288.24,6,2823.4,2652.14,16940.38,partner
17,468,,7551,2026-02-10 15:34:12,1024.7,5,255.02,250.39,1275.09,website
18,672,FASTA Repeat Customer Loan,1136,2026-04-09 11:52:52,14803.94,5,3502.32,2707.68,17511.62,
19,156,,7513,2025-11-16 08:24:19,8343.18,4,2493.26,1629.88,9973.06,app
20,1790,FASTA Cash Loan,6102,2025-04-23 12:53:27,14746.14,3,6133.02,3652.91,18399.05,partner
21,1673,,6758,2025-04-08 21:22:49,2027.34,2,1199.73,372.12,2399.46,partner
22,1559,,1510,2025-07-24 11:16:26,2033.95,3,843.48,496.5,2530.45,
23,349,FASTA Repeat Customer Loan,2535,2025-11-24 18:05:45,4776.5,6,990.06,1163.84,5940.34,website
24,33,,2536,2025-05-12 20:04:34,950.5,4,286.75,196.48,1146.98,website
25,369,FASTA Cash Loan,4119,2025-09-16 10:31:10,1528.22,6,318.82,384.71,,app
26,920,FASTA Cash Loan,1367,2025-09-29 22:11:04,5055.6,1,6272.05,,6272.05,app
27,1503,,4608,2025-01-05 17:38:58,14369.71,6,2827.59,2595.8,16965.51,
28,487,FASTA Cash Loan,,2025-12-08 21:04:23,9916.5,4,3011.93,2131.24,12047.74,app
29,1279,FASTA Cash Loan,1223,2025-11-26 14:46:07,9778.08,5,2408.57,2264.76,12042.84,partner
30,1183,FASTA Repeat Customer Loan,4970,2025-02-10 22:42:10,1536.31,5,368.49,306.14,1842.45,app
31,139,FASTA Repeat Customer Loan,6043,2026-02-15 07:20:17,3212.71,4,1004.62,805.76,4018.47,partner
32,1725,FASTA Cash Loan,3554,2026-02-25 13:33:04,8007.83,5,2021.88,2101.55,10109.38,partner
33,267,FASTA Cash Loan,5596,2025-09-02 08:59:31,518.65,6,102.27,95.0,613.65,app
34,1208,,5854,2025-03-08 09:48:50,7638.41,5,1867.55,1699.34,9337.75,partner
35,329,FASTA Repeat Customer Loan,,2025-07-10 12:09:32,4769.9,1,5953.59,1183.69,5953.59,agent
36,1729,FASTA Cash Loan,7647,2025-08-14 16:41:40,1014.09,6,200.08,186.4,1200.49,
37,372,FASTA Repeat Customer Loan,5074,2025-06-11 11:25:01,518.37,6,109.68,,658.08,app
38,1955,FASTA Repeat Customer Loan,3114,2025-09-03 17:17:28,2094.26,1,2606.96,512.7,2606.96,app
39,18,FASTA Cash Loan,2113,2025-07-01 17:57:26,486.61,2,293.13,99.65,586.26,website
40,1847,FASTA Repeat Customer Loan,5858,2025-05-15 09:32:03,1043.95,4,331.1,280.44,1324.39,
41,495,,2512,2025-02-09 07:55:25,2594.86,1,3088.17,493.31,3088.17,agent
