payment_id,loan_id,schedule_id,payment_date,payment_amount_zar,payment_method,payment_status,bank_reference,naedo_run_id
1,1214,3251,2025-11-20,4831.64,Cash Deposit,REVERSED,BANKREF-21984106,NAEDO-286938
2,19,3085,2026-01-15,1811.39,debit order,failed,BANKREF-84009543,NAEDO-421691
3,1658,3723,2025-08-24,3380.1,Manual EFT,PENDING,,
4,655,6246,2026-06-14,4261.07,Manual EFT,FAILED,BANKREF-95380889,NAEDO-920817
5,1079,1688,2025-07-12,1634.33,Manual EFT,REVERSED,BANKREF-11893714,
6,125,4983,2025-02-17,4087.65,Card,failed,BANKREF-60733208,NAEDO-699567
7,1772,8714,2025-11-25,3048.14,debit order,SUCCESS,BANKREF-95240854,
8,407,3864,2025-11-16,4895.91,Debit Order,SUCCESS,BANKREF-64960732,NAEDO-941224
9,1318,2414,2025-08-11,2952.45,debit order,FAILED,,
10,1747,778,11/05/2025,3508.19,Cash Deposit,SUCCESS,BANKREF-94545349,
11,493,3031,2025-12-12,3847.44,debit order,REVERSED,BANKREF-76088238,
12,731,4851,2026-04-16,4528.52,Manual EFT,failed,BANKREF-89835579,NAEDO-322788
13,17,7444,01 Dec 2026,4530.35,Cash Deposit,FAILED,BANKREF-60152179,
14,954,3712,2026-03-08,3391.21,Manual EFT,REVERSED,BANKREF-67119312,
15,1078,4576,2026-06-18,419.12,debit order,REVERSED,BANKREF-48690178,
16,330,5380,2026-04-21,1345.08,Manual EFT,FAILED,BANKREF-72204966,
17,1709,428,2025-09-16,1133.56,Cash Deposit,PENDING,BANKREF-50302012,NAEDO-913352
18,1470,2661,20251220,3722.97,Cash Deposit,PENDING,BANKREF-71242268,
19,1170,3331,2026-01-31,4543.51,Manual EFT,FAILED,BANKREF-02470648,
20,1787,5928,2025-04-15,-3286.71,Card,REVERSED,BANKREF-66674448,NAEDO-758876
21,1729,1892,2025-04-04,4355.47,debit order,success,BANKREF-18147583,
22,1145,478,10/04/2026,4018.41,Manual EFT,failed,BANKREF-74141837,
23,1025,,2026-04-04,277.66,Debit Order,SUCCESS,BANKREF-71542611,
24,466,6750,2025-08-18,528.01,debit order,SUCCESS,BANKREF-26737126,NAEDO-361336
25,1472,2401,2026-07-05,2252.62,Debit Order,success,BANKREF-68224047,NAEDO-363782
26,551,5286,2025-12-19,2834.06,Card,failed,BANKREF-37983770,
27,636,6304,2025-09-07,4800.07,Debit Order,FAILED,BANKREF-56771383,NAEDO-264683
28,893,2410,2025-11-20,3839.72,Manual EFT,PENDING,BANKREF-75355425,NAEDO-529037
29,1033,3991,2026-01-27,-4209.25,Debit Order,SUCCESS,BANKREF-30760852,NAEDO-934908
30,1372,3799,2026-06-12,792.56,debit order,success,BANKREF-01446076,
31,882,6348,2026-05-21,2906.13,Debit Order,FAILED,BANKREF-48225643,
32,1264,3714,2026-05-17,3863.5,Debit Order,REVERSED,BANKREF-80750583,NAEDO-642978
33,1227,527,2025-06-28,2256.11,Debit Order,success,,
34,258,7267,2026-06-05,2059.79,Card,success,,
35,65,1408,2026-12-06,3468.29,Card,REVERSED,BANKREF-54314303,
36,667,,2025-03-10,1944.73,Cash Deposit,REVERSED,BANKREF-47558752,NAEDO-398996
37,1596,434,2025-10-09,4274.13,debit order,REVERSED,BANKREF-36067342,
38,1616,6876,12 Aug 2025,2794.21,debit order,FAILED,,
39,187,1328,20250921,3167.0,Manual EFT,FAILED,BANKREF-17155901,
40,1109,,2026-04-08,1008.07,Debit Order,PENDING,BANKREF-53817343,NAEDO-203739
