schedule_id,loan_id,instalment_number,due_date,instalment_amount_zar,principal_component_zar,fee_interest_component_zar,schedule_status
1,1,1,2026-04-13,2330.99,1631.69,699.3,PAID
2,1,2,2026-05-13,2330.99,1631.69,699.3,Overdue
3,1,3,2026-06-12,2330.99,1631.69,699.3,paid
4,1,4,2026-07-12,2330.99,1631.69,699.3,PART_PAID
5,1,5,08-11-2026,2330.99,1631.69,699.3,OVERDUE
6,2,1,2025-03-13,3456.04,2419.23,1036.81,PART_PAID
7,2,2,2025-04-12,3456.04,2419.23,1036.81,Overdue
8,2,3,2025-05-12,3456.04,2419.23,1036.81,PAID
9,2,4,11/06/2025,3456.04,2419.23,1036.81,PART_PAID
10,2,5,2025-07-11,3456.04,2419.23,1036.81,OVERDUE
11,3,1,2025-10-18,1995.84,1397.09,598.75,PENDING
12,3,2,2025-11-17,-1995.84,1397.09,598.75,PAID
13,3,3,2025-12-17,1995.84,,598.75,OVERDUE
14,3,4,2026-01-16,1995.84,1397.09,598.75,PART_PAID
15,3,5,2026-02-15,1995.84,1397.09,598.75,OVERDUE
16,4,1,2026-04-23,3056.85,2139.79,917.05,PART_PAID
17,4,2,2026-05-23,3056.85,2139.79,917.05,paid
18,4,3,2026-06-22,3056.85,2139.79,917.05,PART_PAID
19,5,1,2026-05-14,2741.53,1919.07,822.46,PENDING
20,5,2,2026-06-13,2741.53,1919.07,822.46,OVERDUE
21,5,3,2026-07-13,2741.53,,822.46,paid
22,5,4,2026-08-12,2741.53,1919.07,822.46,PENDING
23,5,5,2026-09-11,2741.53,1919.07,822.46,PART_PAID
24,5,6,11 Oct 2026,2741.53,1919.07,822.46,paid
25,6,1,2025-09-11,2285.57,1599.9,685.67,PAID
26,6,2,2025-10-11,2285.57,1599.9,685.67,OVERDUE
27,6,3,10/11/2025,2285.57,1599.9,685.67,PART_PAID
28,6,4,10/12/2025,2285.57,1599.9,685.67,PAID
29,6,5,2026-01-09,2285.57,,685.67,PENDING
30,6,6,2026-02-08,2285.57,1599.9,685.67,PART_PAID
31,7,1,2025-05-07,1725.68,1207.98,517.7,OVERDUE
32,8,1,2026-04-06,2747.66,1923.36,824.3,PART_PAID
33,8,2,2026-05-06,2747.66,1923.36,824.3,Overdue
34,9,1,2025-10-09,-3069.33,2148.53,920.8,OVERDUE
35,9,2,2025-11-08,3069.33,2148.53,920.8,PART_PAID
36,9,3,2025-12-08,3069.33,2148.53,920.8,OVERDUE
37,9,4,2026-01-07,3069.33,,920.8,PART_PAID
38,10,1,2026-02-11,1055.89,739.12,316.77,PENDING
39,10,2,2026-03-13,1055.89,739.12,316.77,Overdue
40,11,1,2025-09-15,2955.98,2069.19,886.79,OVERDUE
41,11,2,2025-10-15,2955.98,2069.19,886.79,PENDING
42,11,3,2025-11-14,2955.98,2069.19,886.79,OVERDUE
43,11,4,14 Dec 2025,2955.98,2069.19,886.79,paid
44,11,5,2026-01-13,2955.98,2069.19,886.79,OVERDUE
