ticket_id,customer_id,brand_name,channel_name,opened_at,closed_at,topic,priority,ticket_status,first_response_minutes,csat_score,nps_score
1,1085,FASTA,Facebook,2025-10-14 13:07:34,2025-10-15 23:18:34,Decline Explanation,Medium,RESOLVED,16,,6
2,191,FASTA,Facebook,2026-04-28 10:00:46,,Payment Query,HIGH,RESOLVED,102,3.4,3
3,400,JustMoney,Facebook,2025-10-25 15:54:30,,Fee Dispute,HIGH,RESOLVED,99,,
4,403,DebtBusters,WhatsApp,2026-01-13 08:44:29,2026-01-13 09:05:29,Fee Dispute,HIGH,PENDING_CUSTOMER,141,2.3,
5,1173,JustMoney,Phone,2025-11-30 11:29:02,2025-11-30 17:43:02,Financial Health Query,High,OPEN,,1.0,8
6,1828,JustMoney,Chat,2025-11-09 21:25:58,2025-11-11 22:34:58,Decline Explanation,Low,OPEN,229,2.6,10
7,1242,JustMoney,Facebook,2025-04-18 11:29:56,2025-04-19 04:15:56,Fee Dispute,Medium,CLOSED,9,1.3,7
8,108,FASTA,Phone,2025-09-12 20:52:20,2025-09-15 11:49:20,Technical Issue,low,PENDING_CUSTOMER,52,,
9,1411,DebtBusters,Email,2026-05-10 18:12:52,2026-05-13 05:23:52,Statement Request,High,OPEN,95,,
10,1480,JustMoney,Chat,2026-04-29 19:04:04,2026-05-01 06:44:04,Application Help,HIGH,OPEN,20,,
11,685,JustMoney,Chat,2026-01-19 14:05:52,,Financial Health Query,Low,open,217,1.4,8
12,150,JustMoney,Phone,2025-05-02 12:38:43,2025-05-03 19:33:43,Fee Dispute,High,PENDING_CUSTOMER,209,4.1,
13,1549,DebtBusters,Chat,2025-06-06 17:26:28,2025-06-07 18:10:28,Statement Request,HIGH,PENDING_CUSTOMER,152,,3
14,1122,JustMoney,Chat,2025-06-27 18:45:49,2025-06-30 17:49:49,Financial Health Query,HIGH,open,221,2.7,
15,598,FASTA,WhatsApp,2025-04-05 10:08:05,,Fraud Report,Low,Closed,228,2.4,4
16,1067,JustMoney,Email,2025-12-13 20:10:49,2025-12-16 06:55:49,Complaint,Critical,Closed,125,4.2,1
17,1986,JustMoney,Chat,2026-03-25 08:30:52,2026-03-27 15:45:52,Statement Request,low,CLOSED,85,,8
18,1027,DebtBusters,Facebook,2025-08-13 15:42:26,2025-08-15 02:31:26,Payment Query,Low,RESOLVED,7,,4
19,324,FASTA,Facebook,2026-01-11 19:43:28,2026-01-13 04:16:28,Statement Request,Medium,RESOLVED,,2.2,8
20,506,DebtBusters,Chat,2025-12-17 21:35:56,2025-12-19 08:10:56,Decline Explanation,Critical,RESOLVED,44,,0
21,1464,FASTA,Email,2026-03-28 07:27:19,2026-03-31 04:14:19,Technical Issue,High,PENDING_CUSTOMER,4,,
22,209,FASTA,Chat,2025-03-19 07:37:42,2025-03-21 05:54:42,Statement Request,low,Closed,166,,5
23,1733,FASTA,Phone,2025-03-07 13:22:32,2025-03-08 07:00:32,Complaint,Critical,PENDING_CUSTOMER,179,1.5,
24,262,JustMoney,WhatsApp,2025-02-11 21:02:02,,Fraud Report,Critical,Closed,,2.9,
25,732,JustMoney,WhatsApp,2026-03-04 08:47:46,2026-03-05 01:53:46,Technical Issue,Medium,Closed,52,,3
26,1797,FASTA,Phone,2025-02-16 14:48:47,,Payment Query,HIGH,CLOSED,57,,
27,895,FASTA,Chat,2025-02-06 08:21:38,2025-02-08 10:02:38,Application Help,High,CLOSED,139,,10
28,,FASTA,Facebook,2026-05-17 07:59:32,2026-05-18 19:56:32,Fee Dispute,HIGH,CLOSED,231,1.5,
29,1130,FASTA,Email,2025-07-23 17:23:40,2025-07-25 08:01:40,Fraud Report,Low,RESOLVED,153,1.2,
30,872,FASTA,Facebook,2025-03-28 10:51:54,2025-03-30 22:33:54,Application Help,High,RESOLVED,87,,
31,1855,JustMoney,WhatsApp,2025-11-21 11:55:18,,Fraud Report,low,Closed,34,,
32,1045,FASTA,Phone,2025-01-12 20:34:07,2025-01-13 12:51:07,Application Help,Low,PENDING_CUSTOMER,184,,8
33,1903,JustMoney,Email,2025-09-03 09:25:03,2025-09-04 16:05:03,Payment Query,Medium,RESOLVED,95,4.2,
34,1328,FASTA,WhatsApp,2025-11-22 21:30:31,2025-11-23 23:41:31,Fraud Report,Critical,OPEN,5,1.3,2
35,284,DebtBusters,Phone,2026-04-25 12:07:29,,Technical Issue,low,OPEN,137,,6
36,678,DebtBusters,Chat,2026-05-15 21:36:48,2026-05-16 02:28:48,Fee Dispute,High,CLOSED,117,2.4,7
37,635,DebtBusters,WhatsApp,2025-07-15 21:56:35,2025-07-16 19:30:35,Fraud Report,low,Closed,73,3.8,4
38,721,JustMoney,WhatsApp,2025-01-10 22:14:11,,Decline Explanation,High,RESOLVED,93,1.4,5
39,528,DebtBusters,Facebook,2026-01-15 07:49:41,2026-01-15 20:31:41,Fee Dispute,HIGH,PENDING_CUSTOMER,4,,8
40,1168,DebtBusters,WhatsApp,2026-05-27 17:48:24,2026-05-27 19:03:24,Decline Explanation,Medium,open,17,,
41,1394,JustMoney,Facebook,2026-01-04 07:27:20,,Complaint,High,RESOLVED,91,3.5,6
42,1435,FASTA,Facebook,2025-02-28 20:09:29,2025-03-01 08:20:29,Technical Issue,Medium,open,205,,
43,507,JustMoney,Email,2026-04-20 17:20:16,2026-04-21 07:22:16,Financial Health Query,HIGH,CLOSED,164,3.5,
44,1484,JustMoney,WhatsApp,2026-06-09 11:08:08,2026-06-12 04:28:08,Application Help,HIGH,OPEN,90,1.2,
45,15,FASTA,Facebook,2025-06-08 14:31:32,2025-06-08 14:50:32,Fee Dispute,Medium,PENDING_CUSTOMER,229,2.3,
