session_id,customer_id,brand_name,campaign_id,session_started_at,device_type,landing_page,referrer_domain,gclid,fbclid,session_duration_seconds,page_views_count,is_bot
1,1312,FASTA,,2025-03-09 08:30:46,MOBILE,https://www.fasta.co.za/apply,instagram.com,gclid_m5vaqyn344,,654,5,0
2,1760,FASTA,,2025-07-24 20:07:59,mobile,https://www.fasta.co.za/calculator,facebook.com,,,1271,3,0
3,,FASTA,30,2025-11-07 14:05:56,Tablet,https://debtbusters.co.za/apply,,,,,6,0
4,607,FASTA,,2025-07-25 19:30:08,Tablet,https://www.fasta.co.za/calculator,,,,1069,12,0
5,1877,FASTA,31,2025-05-20 07:33:47,MOBILE,https://www.fasta.co.za/calculator,,,,396,10,0
6,1248,JustMoney,,2025-01-27 07:13:36,Mobile,https://www.fasta.co.za/calculator,facebook.com,,,276,,0
7,,FASTA,52,2025-08-26 16:14:08,Desktop,https://debtbusters.co.za/apply,,gclid_khvzpsweid,,,12,0
8,387,FASTA,,2025-10-08 15:15:08,MOBILE,https://www.fasta.co.za/apply,google.com,,,872,,0
9,,FASTA,2,2026-05-23 22:43:41,mobile,https://www.fasta.co.za/apply,,,fbclid_4sxa0zivp0,388,18,0
10,1330,FASTA,39,2025-03-26 08:36:56,MOBILE,https://debtbusters.co.za/apply,instagram.com,,,481,3,0
11,1353,FASTA,28,2025-01-22 14:27:45,Tablet,https://debtbusters.co.za/apply,direct,,,50,25,0
12,292,FASTA,,2025-09-12 19:09:12,Mobile,https://debtbusters.co.za/apply,debtbusters.co.za,gclid_7yzqno6i5z,fbclid_1gzdsfhmou,1105,6,0
13,599,JustMoney,38,2025-09-18 11:24:48,MOBILE,https://debtbusters.co.za/apply,,,,53,7,0
14,1526,FASTA,,2025-04-18 21:32:01,mobile,https://justmoney.co.za/loans,google.com,gclid_kehjokff6o,,1521,6,0
15,1166,FASTA,,2026-03-14 10:11:00,Tablet,https://www.fasta.co.za/calculator,email,,,1766,22,0
16,,DebtBusters,44,2026-03-20 22:30:58,MOBILE,https://www.fasta.co.za/apply,direct,gclid_m0f8u88yn4,,37,,0
17,789,FASTA,,2025-11-23 12:43:15,mobile,https://justmoney.co.za/loans,email,,,801,13,0
18,,FASTA,,2026-03-26 16:28:25,Mobile,https://www.fasta.co.za/,google.com,gclid_qxiujjlf2n,,1270,12,0
19,820,DebtBusters,,2026-05-02 18:43:35,mobile,https://www.fasta.co.za/,bing.com,,,81,14,0
20,1352,FASTA,6,2025-05-24 16:51:06,MOBILE,https://debtbusters.co.za/apply,instagram.com,gclid_bmuixcturz,,1118,6,0
21,1572,FASTA,24,2026-01-29 21:44:12,mobile,https://www.fasta.co.za/calculator,justmoney.co.za,gclid_sb7lyxomen,,243,17,0
22,1355,FASTA,25,2025-01-05 12:09:51,Mobile,https://www.fasta.co.za/apply,justmoney.co.za,gclid_9w1szie40q,,1796,24,0
23,827,FASTA,7,2025-03-04 17:58:27,desktop,https://debtbusters.co.za/apply,,,,142,22,0
24,1217,FASTA,36,2025-09-06 14:17:58,Mobile,https://justmoney.co.za/loans,direct,gclid_lpg2n2pjuv,fbclid_p6nia4jxph,1283,5,0
25,,FASTA,15,2026-02-24 07:39:51,desktop,https://justmoney.co.za/loans,facebook.com,,,,25,0
26,,JustMoney,9,2026-04-07 07:37:01,Desktop,https://justmoney.co.za/loans,debtbusters.co.za,,,618,2,0
27,107,FASTA,25,2025-03-11 13:18:26,MOBILE,https://debtbusters.co.za/apply,google.com,,,118,7,0
28,,FASTA,58,2025-07-29 10:25:58,MOBILE,https://www.fasta.co.za/apply,email,,fbclid_m3oln5w71z,771,2,0
29,19,FASTA,,2025-01-21 17:06:00,Mobile,https://www.fasta.co.za/calculator,,,,537,15,0
30,667,FASTA,7,2025-11-20 22:48:19,mobile,https://www.fasta.co.za/,,,,734,18,0
31,22,JustMoney,,2025-04-10 16:12:42,desktop,https://www.fasta.co.za/apply,justmoney.co.za,,,,3,0
32,,FASTA,60,2025-03-30 20:41:11,mobile,https://debtbusters.co.za/apply,,,,,20,0
33,634,JustMoney,5,2026-01-31 10:16:21,Mobile,https://www.fasta.co.za/calculator,,,,1528,2,0
34,69,DebtBusters,4,2025-10-29 18:06:46,Desktop,https://www.fasta.co.za/apply,email,gclid_fjfttdp73k,,453,16,0
35,,JustMoney,24,2025-08-01 09:32:31,Mobile,https://justmoney.co.za/loans,debtbusters.co.za,,,314,22,1
36,303,DebtBusters,53,2025-09-30 21:40:11,mobile,https://justmoney.co.za/loans,justmoney.co.za,,,1188,15,0
37,1179,FASTA,,2026-01-08 19:05:16,Mobile,https://debtbusters.co.za/apply,email,gclid_dsd67jb4in,,695,22,0
38,189,DebtBusters,,2025-08-16 15:22:41,Desktop,https://www.fasta.co.za/calculator,facebook.com,,,1585,14,0
39,330,FASTA,60,2025-06-30 20:15:07,Mobile,https://debtbusters.co.za/apply,direct,gclid_g8kp1j7904,,1552,22,0
40,345,DebtBusters,35,2025-07-13 22:34:43,MOBILE,https://justmoney.co.za/loans,bing.com,,,1326,7,0
41,707,FASTA,35,2025-08-29 11:08:53,MOBILE,https://debtbusters.co.za/apply,facebook.com,,,1119,21,0
42,1032,JustMoney,,2025-04-18 10:39:26,desktop,https://debtbusters.co.za/apply,instagram.com,,fbclid_gaoyw6rrb3,1190,11,0
43,,FASTA,,2025-04-02 08:46:42,Tablet,https://www.fasta.co.za/apply,debtbusters.co.za,,fbclid_xtxoqdv04x,1673,5,0
44,1380,DebtBusters,,2026-06-01 08:53:11,Mobile,https://www.fasta.co.za/apply,facebook.com,gclid_2fy0tuof7f,,303,7,0
45,1429,FASTA,20,2025-07-18 12:43:16,Tablet,https://www.fasta.co.za/,justmoney.co.za,,,562,22,0
46,,FASTA,43,2026-04-02 15:40:00,Mobile,https://www.fasta.co.za/calculator,instagram.com,,,614,4,0
47,1306,FASTA,34,2025-10-25 14:29:06,Mobile,https://justmoney.co.za/loans,direct,gclid_cob80lq1q1,,142,23,0
48,1760,FASTA,,2025-09-05 13:27:05,MOBILE,https://www.fasta.co.za/,,gclid_660nffrtxs,,1222,3,0
49,,DebtBusters,48,2025-03-16 10:16:58,mobile,https://www.fasta.co.za/calculator,,,fbclid_23hkf37p6t,798,3,0
50,909,JustMoney,30,2025-06-27 22:19:39,MOBILE,https://www.fasta.co.za/apply,direct,gclid_8y3mhtwhn9,fbclid_6k947mcwys,381,2,0
51,348,JustMoney,33,2026-01-21 08:19:56,Desktop,https://justmoney.co.za/loans,justmoney.co.za,gclid_o17i4ad8r9,,175,5,0
52,728,FASTA,31,2025-07-30 14:30:07,desktop,https://www.fasta.co.za/apply,justmoney.co.za,,,614,21,0
53,571,JustMoney,56,2026-04-04 11:42:02,Mobile,https://www.fasta.co.za/calculator,bing.com,gclid_whr92nu5vt,fbclid_lna4dms7mc,64,12,0
54,1742,FASTA,4,2026-03-02 19:41:01,Tablet,https://debtbusters.co.za/apply,email,,,1275,16,0
55,1697,FASTA,,2025-07-22 07:44:42,MOBILE,https://debtbusters.co.za/apply,,,,928,,0
56,1337,DebtBusters,12,2025-05-28 14:08:22,Tablet,https://www.fasta.co.za/apply,,gclid_g1g27yhalx,,1434,21,0
57,1341,FASTA,1,2025-04-15 10:53:01,desktop,https://www.fasta.co.za/calculator,google.com,,,176,7,0
58,50,JustMoney,,2026-01-19 10:57:50,Mobile,https://debtbusters.co.za/apply,direct,,fbclid_xep5g4ge6v,927,17,0
59,1238,FASTA,,2025-12-05 09:54:57,,https://www.fasta.co.za/apply,,,,1219,18,0
60,,JustMoney,,2025-08-11 11:05:49,Desktop,https://www.fasta.co.za/apply,google.com,gclid_xk7wng1vyu,,,23,0
61,,DebtBusters,16,2025-11-05 14:31:54,,https://www.fasta.co.za/apply,justmoney.co.za,,,1026,13,0
62,1629,FASTA,5,2025-04-15 14:37:33,MOBILE,https://www.fasta.co.za/calculator,instagram.com,,,146,,0
63,186,DebtBusters,60,2025-04-06 18:22:36,mobile,https://debtbusters.co.za/apply,google.com,,,706,7,0
64,,FASTA,18,2025-07-08 20:21:23,mobile,https://debtbusters.co.za/apply,email,,,592,16,1
65,1482,FASTA,,2025-06-10 19:01:09,desktop,https://www.fasta.co.za/,google.com,gclid_61dpkb11fm,,1242,22,0
66,151,JustMoney,,2025-05-28 20:03:27,MOBILE,https://www.fasta.co.za/calculator,bing.com,gclid_ez0w3yupsf,,1318,12,0
67,,FASTA,53,2026-05-08 11:18:45,MOBILE,https://www.fasta.co.za/calculator,,gclid_phw4jqz1ph,,1295,22,0
68,,FASTA,20,2025-11-26 20:11:47,Tablet,https://www.fasta.co.za/apply,bing.com,,,1493,22,0
69,260,JustMoney,,2025-09-15 09:23:37,Tablet,https://www.fasta.co.za/calculator,bing.com,,,1788,6,0
70,942,JustMoney,30,2025-03-23 10:29:03,Mobile,https://justmoney.co.za/loans,justmoney.co.za,,,972,14,0
71,1337,DebtBusters,45,2026-02-22 14:27:35,MOBILE,https://justmoney.co.za/loans,debtbusters.co.za,gclid_ma1nn1o8si,,155,7,0
72,719,JustMoney,13,2025-09-07 10:05:44,Desktop,https://debtbusters.co.za/apply,google.com,gclid_2lr52h20ua,,334,13,0
73,528,FASTA,1,2025-11-24 22:28:27,desktop,https://justmoney.co.za/loans,google.com,,,1593,11,0
74,,FASTA,,2025-04-13 22:30:39,MOBILE,https://www.fasta.co.za/,instagram.com,,fbclid_ojyssexvr2,466,,0
75,95,FASTA,,2025-05-22 10:43:24,MOBILE,https://www.fasta.co.za/,,,,434,23,0
76,434,JustMoney,21,2026-04-22 08:21:39,Desktop,https://justmoney.co.za/loans,google.com,,,1021,2,0
77,267,FASTA,28,2026-01-20 18:28:19,MOBILE,https://www.fasta.co.za/calculator,,,,1096,22,0
78,658,JustMoney,,2025-12-05 17:25:04,Tablet,https://www.fasta.co.za/,email,,,394,,0
79,377,DebtBusters,60,2025-01-08 09:39:59,Desktop,https://justmoney.co.za/loans,direct,,fbclid_xlmc7u1mvz,1492,21,0
80,101,DebtBusters,35,2025-05-19 10:43:02,Mobile,https://www.fasta.co.za/apply,justmoney.co.za,,fbclid_f12a5wsu53,432,8,0
81,1311,DebtBusters,1,2025-02-15 11:42:25,Desktop,https://justmoney.co.za/loans,,,,801,2,0
82,376,FASTA,31,2025-10-17 09:07:34,Tablet,https://debtbusters.co.za/apply,direct,,,1294,2,0
83,,FASTA,,2025-04-09 20:17:50,desktop,https://justmoney.co.za/loans,google.com,,fbclid_z8c0oj6u1h,346,1,0
84,,FASTA,11,2025-03-23 09:28:30,MOBILE,https://debtbusters.co.za/apply,,,,842,23,0
85,37,FASTA,47,2026-03-06 20:03:46,Tablet,https://debtbusters.co.za/apply,justmoney.co.za,,,1250,3,1
86,,FASTA,35,2026-05-02 17:14:07,Tablet,https://www.fasta.co.za/apply,email,,,129,20,0
87,1364,JustMoney,51,2025-02-21 20:49:35,Desktop,https://www.fasta.co.za/,justmoney.co.za,gclid_3smfejql37,,,5,0
88,,FASTA,57,2026-02-06 12:38:19,Desktop,https://debtbusters.co.za/apply,instagram.com,gclid_rrrhmgmlrj,,665,,0
89,1473,JustMoney,34,2025-05-31 16:03:41,MOBILE,https://debtbusters.co.za/apply,debtbusters.co.za,gclid_7x55pcaj1t,,846,20,0
90,526,DebtBusters,20,2025-01-30 21:27:20,Tablet,https://www.fasta.co.za/calculator,,,,,10,0
91,,DebtBusters,49,2025-05-17 08:16:48,Mobile,https://www.fasta.co.za/apply,,,,,15,0
92,1716,FASTA,46,2025-06-29 14:32:54,mobile,https://www.fasta.co.za/apply,debtbusters.co.za,gclid_adnccb2hpu,,465,6,0
